id;company;country_code;state;city;zip_code;vat_number;cf;sdi;owned_by;geolocation;origin_user_id;registration;code;pec;num_rivendita;website;fax;profile;bank_name;bank_iban;ranking;business_string;origin
1;mobile Fish;SB;Savings Account Dam;North Jadonhaven;61760;Producer;Implementation Electronics Officer;methodology Albania;43194;intangible;61185;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;66252;hardware Costa Rica Mayotte;Industrial
2;connect Markets Chief;MP;National Awesome sky blue;Port Erichaven;72585;Specialist Home Loan Account;Plastic;Car Industrial deliverables;39488;24 hour;1407;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;20171;Dynamic;knowledge base Buckinghamshire
3;Concrete Investment Account Saint Lucia;CR;Brand;Effiechester;89682;Refined Squares;maroon;EXE projection Fresh;35629;Direct;27213;withdrawal;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661;paradigms Home;Investor Public-key
4;Lebanon;JE;Dominican Republic Credit Card Account Handmade;East Deanna;83469-6358;optical;installation;Argentine Peso;85835;neural-net red;71114;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;84666;SCSI drive THX;Unbranded Cheese Dynamic
5;Alabama transform;UZ;Supervisor clear-thinking;South Jean;46921-7024;Fish;payment calculating;local area network Benin;50881;withdrawal Ergonomic;58987;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;Alaska;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;19091;eco-centric Bedfordshire mesh;Configuration UIC-Franc
6;Ergonomic Concrete Soap Zambian Kwacha;GR;Open-architected;Port Enid;86177-3522;schemas Synergistic Personal Loan Account;Avon;Auto Loan Account olive;7094;extend Unbranded Fresh Pants Tools;57886;interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;13274;Analyst card Licensed Cotton Ball;mindshare Gorgeous
7;Chips;BF;infomediaries Som Rustic Frozen Keyboard;East Dax;07169-2695;payment e-markets system;Organic;Cheese Steel;34187;Small;9415;solution;Colombian Peso Unidad de Valor Real Bridge Handmade;online e-business;systems integrate;Web HTTP;implement;Optimization Cambridgeshire;payment Soap;Web;94425;COM;Data North Dakota
8;North Carolina Granite;SK;parsing Investment Account;Willmsfurt;21202-1300;Credit Card Account;Handcrafted Plastic Shirt quantifying;wireless;26069;Avon;69289;extensible Accountability Handmade Cotton Bacon;intermediate Table quantify;Wyoming interface Cotton;quantify;JSON Texas;bandwidth;application Configurable iterate;Berkshire navigating;superstructure;9998;Small Frozen Salad bypassing;time-frame Quality
9;Borders Borders Practical;BH;Money Market Account;Margarettaberg;97771-0949;Designer;mindshare;Guam bandwidth Liaison;68803;generating SDD bypassing;42609;Centralized revolutionize International;Sleek;Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;57147;hack;Fresh payment synthesize
10;Versatile seize;KM;Refined;Damonview;80995-0380;Principal Senior;Paraguay;Sleek Tuna magenta;29449;Orchestrator Naira;38420;protocol Product Usability;Regional;Generic B2B;olive;facilitate Persevering;Fantastic;zero defect Ridges Beauty;groupware;Credit Card Account clear-thinking Frozen;7620;Usability models New Mexico;markets Accountability EXE
